@relation dbworld_subjects

@attribute 10th {0,1}
@attribute 13th {0,1}
@attribute 1st {0,1}
@attribute 2nd {0,1}
@attribute 31st {0,1}
@attribute 3rd {0,1}
@attribute 5th {0,1}
@attribute 6th {0,1}
@attribute abstracts {0,1}
@attribute academic {0,1}
@attribute access {0,1}
@attribute acm {0,1}
@attribute acns {0,1}
@attribute advances {0,1}
@attribute aie {0,1}
@attribute algorithms {0,1}
@attribute analysis {0,1}
@attribute analytics {0,1}
@attribute antilles {0,1}
@attribute applications {0,1}
@attribute applied {0,1}
@attribute area {0,1}
@attribute asia {0,1}
@attribute assistant {0,1}
@attribute associate {0,1}
@attribute augmented {0,1}
@attribute australia {0,1}
@attribute autonomous {0,1}
@attribute based {0,1}
@attribute big {0,1}
@attribute bournemouth {0,1}
@attribute call {0,1}
@attribute centre {0,1}
@attribute certification {0,1}
@attribute ceur {0,1}
@attribute cfp {0,1}
@attribute chicago {0,1}
@attribute chile {0,1}
@attribute china {0,1}
@attribute city {0,1}
@attribute cloud {0,1}
@attribute commerce {0,1}
@attribute communications {0,1}
@attribute computationally {0,1}
@attribute computer {0,1}
@attribute computing {0,1}
@attribute conference {0,1}
@attribute constraints {0,1}
@attribute cryptography {0,1}
@attribute cse {0,1}
@attribute csiro {0,1}
@attribute dalian {0,1}
@attribute danms’12 {0,1}
@attribute data {0,1}
@attribute databases {0,1}
@attribute ddis {0,1}
@attribute deadline {0,1}
@attribute delay {0,1}
@attribute delft {0,1}
@attribute demo {0,1}
@attribute deployment {0,1}
@attribute deri {0,1}
@attribute differential {0,1}
@attribute distributed {0,1}
@attribute dmc {0,1}
@attribute doc {0,1}
@attribute doctoral {0,1}
@attribute dublin {0,1}
@attribute due {0,1}
@attribute edbt2012 {0,1}
@attribute efficient {0,1}
@attribute electronic {0,1}
@attribute energy {0,1}
@attribute environment {0,1}
@attribute er2012 {0,1}
@attribute event {0,1}
@attribute exhibition {0,1}
@attribute expression {0,1}
@attribute extended {0,1}
@attribute extension {0,1}
@attribute extreme {0,1}
@attribute facullty {0,1}
@attribute faculty {0,1}
@attribute faster {0,1}
@attribute fbk {0,1}
@attribute fellow {0,1}
@attribute fellowships {0,1}
@attribute final {0,1}
@attribute free {0,1}
@attribute fully {0,1}
@attribute funded {0,1}
@attribute galway {0,1}
@attribute generation {0,1}
@attribute gis {0,1}
@attribute graduate {0,1}
@attribute hiring {0,1}
@attribute human {0,1}
@attribute icistm2012 {0,1}
@attribute icsoc {0,1}
@attribute ict {0,1}
@attribute iir {0,1}
@attribute illinois {0,1}
@attribute image {0,1}
@attribute inaugural {0,1}
@attribute indiana {0,1}
@attribute industrial {0,1}
@attribute information {0,1}
@attribute institute {0,1}
@attribute intelligent {0,1}
@attribute intensive {0,1}
@attribute interest {0,1}
@attribute international {0,1}
@attribute invocation {0,1}
@attribute issue {0,1}
@attribute iswpc {0,1}
@attribute italy {0,1}
@attribute itc {0,1}
@attribute jnit {0,1}
@attribute job {0,1}
@attribute jobs {0,1}
@attribute journal {0,1}
@attribute july {0,1}
@attribute june {0,1}
@attribute knowledge {0,1}
@attribute labeling {0,1}
@attribute labs {0,1}
@attribute language {0,1}
@attribute lecturer {0,1}
@attribute level {0,1}
@attribute linked {0,1}
@attribute louvain {0,1}
@attribute maarten {0,1}
@attribute management {0,1}
@attribute manager {0,1}
@attribute march {0,1}
@attribute microsoft {0,1}
@attribute mining {0,1}
@attribute mobile {0,1}
@attribute mobiwis {0,1}
@attribute multimodality {0,1}
@attribute multiple {0,1}
@attribute natural {0,1}
@attribute ndt {0,1}
@attribute netherlands {0,1}
@attribute network {0,1}
@attribute networks {0,1}
@attribute nmr {0,1}
@attribute noms {0,1}
@attribute nov {0,1}
@attribute november {0,1}
@attribute npa {0,1}
@attribute nui {0,1}
@attribute oct {0,1}
@attribute october {0,1}
@attribute online {0,1}
@attribute ontologies {0,1}
@attribute open {0,1}
@attribute opportunity {0,1}
@attribute org {0,1}
@attribute oriented {0,1}
@attribute padua {0,1}
@attribute pakdd {0,1}
@attribute panel {0,1}
@attribute paper {0,1}
@attribute papers {0,1}
@attribute paris {0,1}
@attribute participation {0,1}
@attribute pervasive {0,1}
@attribute phd {0,1}
@attribute position {0,1}
@attribute positions {0,1}
@attribute post {0,1}
@attribute postdoc {0,1}
@attribute postdoctoral {0,1}
@attribute postions {0,1}
@attribute privacy {0,1}
@attribute proceedings {0,1}
@attribute processing {0,1}
@attribute professor {0,1}
@attribute programming {0,1}
@attribute project {0,1}
@attribute proposal {0,1}
@attribute proposals {0,1}
@attribute protocols {0,1}
@attribute provenance {0,1}
@attribute reasoning {0,1}
@attribute reminder {0,1}
@attribute representation {0,1}
@attribute research {0,1}
@attribute researcher {0,1}
@attribute retrieval {0,1}
@attribute risk {0,1}
@attribute science {0,1}
@attribute scientific {0,1}
@attribute security {0,1}
@attribute semantic {0,1}
@attribute semantics {0,1}
@attribute senior {0,1}
@attribute sensor {0,1}
@attribute service {0,1}
@attribute session {0,1}
@attribute sigmod {0,1}
@attribute smpe {0,1}
@attribute soa {0,1}
@attribute social {0,1}
@attribute spain {0,1}
@attribute spatial {0,1}
@attribute special {0,1}
@attribute stevens {0,1}
@attribute streams {0,1}
@attribute studentship {0,1}
@attribute studentships {0,1}
@attribute submission {0,1}
@attribute symposuim {0,1}
@attribute systems {0,1}
@attribute technical {0,1}
@attribute technology {0,1}
@attribute temporal {0,1}
@attribute tenure {0,1}
@attribute tist {0,1}
@attribute tomorrow {0,1}
@attribute track {0,1}
@attribute trento {0,1}
@attribute trust {0,1}
@attribute tue {0,1}
@attribute tutorial {0,1}
@attribute tutorials {0,1}
@attribute ubiquitous {0,1}
@attribute unit {0,1}
@attribute university {0,1}
@attribute usa {0,1}
@attribute vacancies {0,1}
@attribute vacancy {0,1}
@attribute valencia {0,1}
@attribute vehicular {0,1}
@attribute video {0,1}
@attribute web {0,1}
@attribute wireless {0,1}
@attribute workflows {0,1}
@attribute workshop {0,1}
@attribute workshops {0,1}
@attribute zurich {0,1}
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
