@relation dbworld_subjects_stemmed

@attribute 10th {0,1}
@attribute 13th {0,1}
@attribute 1st {0,1}
@attribute 2nd {0,1}
@attribute 31st {0,1}
@attribute 3rd {0,1}
@attribute 5th {0,1}
@attribute 6th {0,1}
@attribute abstract {0,1}
@attribute academ {0,1}
@attribute access {0,1}
@attribute acm {0,1}
@attribute acn {0,1}
@attribute advanc {0,1}
@attribute aie {0,1}
@attribute algorithm {0,1}
@attribute analysi {0,1}
@attribute analyt {0,1}
@attribute antil {0,1}
@attribute appli {0,1}
@attribute applic {0,1}
@attribute area {0,1}
@attribute asia {0,1}
@attribute assist {0,1}
@attribute associ {0,1}
@attribute augment {0,1}
@attribute australia {0,1}
@attribute autonom {0,1}
@attribute base {0,1}
@attribute big {0,1}
@attribute bournemouth {0,1}
@attribute call {0,1}
@attribute centr {0,1}
@attribute certif {0,1}
@attribute ceur {0,1}
@attribute cfp {0,1}
@attribute chicago {0,1}
@attribute chile {0,1}
@attribute china {0,1}
@attribute citi {0,1}
@attribute cloud {0,1}
@attribute commerc {0,1}
@attribute commun {0,1}
@attribute comput {0,1}
@attribute computation {0,1}
@attribute confer {0,1}
@attribute constraint {0,1}
@attribute cryptographi {0,1}
@attribute cse {0,1}
@attribute csiro {0,1}
@attribute dalian {0,1}
@attribute danms’12 {0,1}
@attribute data {0,1}
@attribute databas {0,1}
@attribute ddi {0,1}
@attribute deadlin {0,1}
@attribute delai {0,1}
@attribute delft {0,1}
@attribute demo {0,1}
@attribute deploy {0,1}
@attribute deri {0,1}
@attribute differenti {0,1}
@attribute distribut {0,1}
@attribute dmc {0,1}
@attribute doc {0,1}
@attribute doctor {0,1}
@attribute dublin {0,1}
@attribute due {0,1}
@attribute edbt2012 {0,1}
@attribute effici {0,1}
@attribute electron {0,1}
@attribute energi {0,1}
@attribute environ {0,1}
@attribute er2012 {0,1}
@attribute event {0,1}
@attribute exhibit {0,1}
@attribute express {0,1}
@attribute extend {0,1}
@attribute extens {0,1}
@attribute extrem {0,1}
@attribute facullti {0,1}
@attribute faculti {0,1}
@attribute faster {0,1}
@attribute fbk {0,1}
@attribute fellow {0,1}
@attribute fellowship {0,1}
@attribute final {0,1}
@attribute free {0,1}
@attribute fulli {0,1}
@attribute fund {0,1}
@attribute galwai {0,1}
@attribute gener {0,1}
@attribute gi {0,1}
@attribute graduat {0,1}
@attribute hire {0,1}
@attribute human {0,1}
@attribute icistm2012 {0,1}
@attribute icsoc {0,1}
@attribute ict {0,1}
@attribute iir {0,1}
@attribute illinoi {0,1}
@attribute imag {0,1}
@attribute inaugur {0,1}
@attribute indiana {0,1}
@attribute industri {0,1}
@attribute inform {0,1}
@attribute institut {0,1}
@attribute intellig {0,1}
@attribute intens {0,1}
@attribute interest {0,1}
@attribute intern {0,1}
@attribute invoc {0,1}
@attribute issu {0,1}
@attribute iswpc {0,1}
@attribute itali {0,1}
@attribute itc {0,1}
@attribute jnit {0,1}
@attribute job {0,1}
@attribute journal {0,1}
@attribute juli {0,1}
@attribute june {0,1}
@attribute knowledg {0,1}
@attribute lab {0,1}
@attribute label {0,1}
@attribute languag {0,1}
@attribute lectur {0,1}
@attribute level {0,1}
@attribute link {0,1}
@attribute louvain {0,1}
@attribute maarten {0,1}
@attribute manag {0,1}
@attribute march {0,1}
@attribute microsoft {0,1}
@attribute mine {0,1}
@attribute mobil {0,1}
@attribute mobiwi {0,1}
@attribute multimod {0,1}
@attribute multipl {0,1}
@attribute natur {0,1}
@attribute ndt {0,1}
@attribute netherland {0,1}
@attribute network {0,1}
@attribute nmr {0,1}
@attribute nom {0,1}
@attribute nov {0,1}
@attribute novemb {0,1}
@attribute npa {0,1}
@attribute nui {0,1}
@attribute oct {0,1}
@attribute octob {0,1}
@attribute onlin {0,1}
@attribute ontolog {0,1}
@attribute open {0,1}
@attribute opportun {0,1}
@attribute org {0,1}
@attribute orient {0,1}
@attribute padua {0,1}
@attribute pakdd {0,1}
@attribute panel {0,1}
@attribute paper {0,1}
@attribute pari {0,1}
@attribute particip {0,1}
@attribute pervas {0,1}
@attribute phd {0,1}
@attribute posit {0,1}
@attribute post {0,1}
@attribute postdoc {0,1}
@attribute postdoctor {0,1}
@attribute postion {0,1}
@attribute privaci {0,1}
@attribute proceed {0,1}
@attribute process {0,1}
@attribute professor {0,1}
@attribute program {0,1}
@attribute project {0,1}
@attribute propos {0,1}
@attribute protocol {0,1}
@attribute proven {0,1}
@attribute reason {0,1}
@attribute remind {0,1}
@attribute represent {0,1}
@attribute research {0,1}
@attribute retriev {0,1}
@attribute risk {0,1}
@attribute scienc {0,1}
@attribute scientif {0,1}
@attribute secur {0,1}
@attribute semant {0,1}
@attribute senior {0,1}
@attribute sensor {0,1}
@attribute servic {0,1}
@attribute session {0,1}
@attribute sigmod {0,1}
@attribute smpe {0,1}
@attribute soa {0,1}
@attribute social {0,1}
@attribute spain {0,1}
@attribute spatial {0,1}
@attribute special {0,1}
@attribute steven {0,1}
@attribute stream {0,1}
@attribute studentship {0,1}
@attribute submiss {0,1}
@attribute symposuim {0,1}
@attribute system {0,1}
@attribute technic {0,1}
@attribute technolog {0,1}
@attribute tempor {0,1}
@attribute tenur {0,1}
@attribute tist {0,1}
@attribute tomorrow {0,1}
@attribute track {0,1}
@attribute trento {0,1}
@attribute trust {0,1}
@attribute tue {0,1}
@attribute tutori {0,1}
@attribute ubiquit {0,1}
@attribute unit {0,1}
@attribute univers {0,1}
@attribute usa {0,1}
@attribute vacanc {0,1}
@attribute valencia {0,1}
@attribute vehicular {0,1}
@attribute video {0,1}
@attribute web {0,1}
@attribute wireless {0,1}
@attribute workflow {0,1}
@attribute workshop {0,1}
@attribute zurich {0,1}
@attribute CLASS {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
